aX,aY,aZ,gX,gY,gZ
-4.000,11.210,-11.100,4.250,-2.375,-5.562
-3.610,11.020,-10.820,10.375,-8.875,-9.750
-3.610,11.020,-10.820,10.375,-8.875,-9.750
-3.350,11.150,-10.650,14.313,-12.000,-12.500
-3.350,11.150,-10.650,13.438,-8.188,-13.563

-3.980,11.240,-11.050,7.187,0.687,-11.375
-3.980,11.240,-11.050,-1.875,10.375,-5.375
-4.170,11.330,-11.070,-1.875,10.375,-5.375
-4.380,11.260,-11.370,-6.250,15.250,-1.250
-5.140,11.760,-11.950,-1.875,4.625,-1.937
-5.140,11.760,-11.950,-1.875,4.625,-1.937
-4.710,11.720,-11.720,1.312,-4.187,-5.750
-4.710,11.720,-11.720,3.750,-10.625,-9.875
-4.460,11.340,-11.200,3.750,-10.625,-9.875
-4.080,11.090,-10.860,4.625,-11.688,-11.500
-3.740,10.310,-10.240,6.500,-13.500,-14.188
-3.740,10.310,-10.240,7.625,-14.688,-13.375
-3.620,10.300,-10.110,7.625,-14.688,-13.375
-3.650,10.370,-10.310,6.687,-8.313,-8.563
-3.650,10.370,-10.310,6.687,-8.313,-8.563
-3.760,10.710,-10.640,3.500,3.438,-2.000
-4.450,11.200,-11.360,-1.750,12.688,5.750
-4.530,11.330,-11.490,-3.500,16.687,10.750
-4.530,11.330,-11.490,-3.500,16.687,10.750
-4.590,11.360,-11.550,-2.625,15.125,10.625
-4.430,11.290,-11.380,0.125,9.063,7.312
-4.430,11.290,-11.380,0.125,9.063,7.312
-4.180,10.800,-11.130,2.750,3.125,2.500
-3.930,10.820,-10.890,5.625,-2.000,-0.062
-3.730,10.910,-10.800,6.625,-5.250,0.687
-3.730,10.910,-10.800,6.625,-5.250,0.687
-3.620,10.840,-10.790,6.375,-4.375,1.125
-3.620,10.840,-10.790,4.375,-0.875,2.813
-3.650,10.900,-10.900,4.375,-0.875,2.813
-3.830,10.970,-11.210,2.813,4.437,4.375
-4.340,11.270,-11.750,1.562,10.438,5.562
-5.230,12.450,-12.970,-0.375,14.438,6.812
-5.230,12.450,-12.970,-0.375,14.438,6.812
-4.850,12.540,-12.810,2.313,10.250,4.500
-4.850,12.540,-12.810,7.000,-4.062,-2.938
-4.520,12.390,-12.470,7.000,-4.062,-2.938
-4.090,12.030,-11.820,9.688,-19.625,-12.563
-3.360,10.590,-10.400,8.625,-27.062,-19.562
-3.360,10.590,-10.400,8.625,-27.062,-19.562
-3.210,10.110,-10.090,4.187,-22.687,-19.312
-3.210,10.110,-10.090,0.250,-12.375,-13.875
-3.270,9.750,-9.940,0.250,-12.375,-13.875
-3.610,9.740,-10.250,-3.750,-0.937,-4.687
-3.610,9.740,-10.250,-6.562,10.813,5.687
-3.910,10.440,-10.890,-6.562,10.813,5.687
-4.460,10.780,-11.640,-6.625,21.375,13.250
-4.900,11.180,-12.030,-5.000,26.937,16.125
-4.900,11.180,-12.030,2.125,13.313,9.750
-5.020,11.640,-12.410,2.125,13.313,9.750
-4.310,12.170,-12.210,2.125,13.313,9.750
-4.310,12.170,-12.210,7.562,-0.125,1.625
-4.100,11.830,-11.820,7.562,-0.125,1.625
-4.020,11.460,-11.470,7.375,-15.813,-9.813
-3.640,11.200,-11.100,4.437,-16.000,-10.313
-3.640,11.200,-11.100,4.437,-16.000,-10.313
-3.150,10.740,-10.410,3.500,-13.250,-10.813
-3.150,10.740,-10.410,1.875,-7.125,-10.813
-3.190,10.550,-10.350,1.875,-7.125,-10.813
