aX,aY,aZ,gX,gY,gZ
-0.010,0.930,-0.100,0.375,-0.687,2.563
0.020,0.910,-0.100,-0.687,1.812,3.250
0.020,0.910,-0.100,-0.687,1.812,3.250
-0.030,0.960,-0.060,-1.000,4.250,3.000
-0.030,0.960,-0.060,-1.000,4.250,3.000
-0.070,0.800,-0.140,-0.125,4.500,1.562
0.000,0.760,-0.300,1.062,2.688,0.375
0.000,0.760,-0.300,1.062,2.688,0.375
-0.060,0.670,-0.060,-0.312,1.375,-0.375
-0.030,0.780,-0.180,-2.313,-0.625,-1.000
-0.030,0.780,-0.180,-2.313,-0.625,-1.000
0.030,0.770,-0.110,-2.313,-3.688,-1.687
0.030,0.770,-0.110,-1.687,-4.187,-1.875
0.080,0.700,0.140,-1.687,-4.187,-1.875
0.050,0.530,0.180,0.687,-2.188,-0.750
0.050,0.530,0.180,1.875,0.187,0.812
-0.010,0.510,0.340,1.875,0.187,0.812
-0.010,0.610,0.390,0.062,3.438,2.125
-0.010,0.610,0.390,-1.562,5.812,2.250
-0.010,0.620,0.120,-1.562,5.812,2.250
-0.010,0.750,-0.170,-1.000,6.125,2.250
-0.010,0.750,-0.170,-1.000,6.125,2.250
-0.050,0.830,-0.600,0.687,2.563,1.562
-0.070,1.070,-0.690,2.063,-5.000,0.187
-0.060,0.900,-0.210,0.000,-10.250,-2.188
-0.060,0.900,-0.210,0.000,-10.250,-2.188
0.000,0.650,-0.170,0.000,-10.438,-2.750
0.000,0.650,-0.170,0.000,-10.438,-2.750
0.030,0.670,0.000,2.375,-8.813,-2.000
0.000,0.730,0.100,3.625,-4.750,-1.187
0.020,0.750,0.300,3.125,1.312,-0.500
0.020,0.750,0.300,3.125,1.312,-0.500
0.000,0.820,0.270,1.187,8.063,0.375
0.000,0.820,0.270,-2.688,11.563,0.250
0.000,0.910,0.110,-2.688,11.563,0.250
0.010,0.920,-0.090,-6.062,10.813,-0.187
0.010,0.920,-0.090,-8.125,7.500,-0.500
-0.040,0.800,-0.380,-8.125,7.500,-0.500
-0.020,0.830,-0.560,-8.563,2.375,-0.875
0.000,0.710,-0.610,-5.312,-3.563,-0.750
0.000,0.710,-0.610,-5.312,-3.563,-0.750
0.020,0.700,0.320,-2.938,-6.812,-0.687
0.050,0.370,0.250,-2.000,-3.375,-0.937
0.050,0.370,0.250,-2.000,-3.375,-0.937
0.070,0.450,-0.090,2.938,0.625,0.312
0.030,0.770,0.050,5.812,1.000,1.062
-0.020,0.950,0.000,3.625,2.000,1.125
-0.020,0.950,0.000,3.625,2.000,1.125
-0.020,0.910,-0.100,1.250,2.938,0.250
-0.020,0.910,-0.100,1.250,2.938,0.250
-0.010,0.860,-0.020,-1.625,2.813,-0.562
0.000,0.860,0.020,-3.375,4.062,-1.125
0.120,0.670,-0.160,-4.000,6.437,-0.312
0.120,0.670,-0.160,-4.875,7.500,2.250
0.020,0.730,-0.030,-4.875,7.500,2.250
0.030,0.540,-0.010,-5.750,8.813,4.250
0.030,0.540,-0.010,-5.750,8.813,4.250
0.020,0.540,-0.330,-2.188,8.563,7.000
-0.150,0.940,0.020,0.750,5.062,7.000
-0.150,0.940,0.020,0.000,3.438,4.562
-0.210,0.960,-0.120,0.000,3.438,4.562
-0.170,0.950,-0.290,-0.187,1.250,1.125
-0.170,0.950,-0.290,-0.187,1.250,1.125
-0.110,1.030,-0.250,-0.937,-0.250,-1.812
0.020,0.900,0.180,-3.500,1.062,-4.000
0.020,0.900,0.180,-3.500,1.062,-4.000
0.180,0.570,0.150,-6.687,3.875,-5.625
0.220,0.430,0.160,-8.313,4.750,-4.500
0.220,0.430,0.160,-6.187,2.875,-2.313
0.160,0.350,0.140,-6.187,2.875,-2.313
0.100,0.510,0.210,-2.563,3.813,-0.187
0.100,0.510,0.210,-2.000,7.187,1.875
0.050,0.660,0.070,-2.000,7.187,1.875
0.000,0.690,-0.190,-3.375,8.188,3.000
-0.140,0.990,-0.650,-0.562,4.687,2.750
-0.140,0.990,-0.650,1.687,-0.437,1.250
-0.100,1.180,-0.540,1.687,-0.437,1.250
-0.030,1.110,-0.330,0.812,-4.062,-1.250
-0.030,1.110,-0.330,0.187,-6.062,-2.750
-0.040,0.790,-0.220,0.187,-6.062,-2.750
-0.010,0.760,0.180,1.312,-6.062,-3.375
-0.010,0.760,0.180,0.250,-3.438,-3.313
0.000,0.600,0.140,0.250,-3.438,-3.313

-0.390,1.360,2.160,7.000,-5.437,7.812
-0.390,1.360,2.160,2.563,-2.813,11.438
-0.510,1.990,2.820,2.563,-2.813,11.438
-0.550,2.160,3.100,-2.063,2.125,13.125
-0.550,2.220,3.320,-6.750,8.625,12.313
-0.550,2.220,3.320,-6.750,8.625,12.313
-0.370,2.160,3.790,-12.125,13.500,10.063
-0.370,2.160,3.790,-15.188,15.000,7.750
-0.120,1.550,4.960,-15.188,15.000,7.750
-0.190,1.170,5.540,-14.875,16.437,7.000
-0.460,0.810,5.620,-13.063,15.500,9.250
-0.460,0.810,5.620,-8.375,4.250,11.563
-0.580,0.910,4.890,-8.375,4.250,11.563
-0.600,1.560,3.270,0.625,-29.500,10.813
-0.600,1.560,3.270,0.625,-29.500,10.813
-0.620,1.640,3.830,4.312,-65.500,8.875
